epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0007,,0.01,,
0.0,10000.0,7.0,280.0,10000.0,1428.5714,18.75,18.75,-0.058992803,0.0007,,0.01,2.8887959,
0.0,20000.0,14.0,565.0,20000.0,1428.5714,31.25,25.0,-0.03544356,0.0007,,0.01,2.8892248,
0.0,30000.0,20.0,850.0,30000.0,1500.0,37.5,29.166666,-0.053561904,0.0007,,0.01,2.887709,
0.0,40000.0,27.0,1135.0,40000.0,1481.4814,37.5,31.25,-0.09274725,0.0007,,0.01,2.888096,
0.0,50000.0,34.0,1420.0,50000.0,1470.5883,28.125,30.625,0.06708427,0.0007,,0.01,2.8893456,
0.0,60000.0,40.0,1700.0,60000.0,1500.0,28.125,30.208334,-0.037884675,0.0007,,0.01,2.8888104,
0.0,70000.0,47.0,1985.0,70000.0,1489.3617,37.5,31.25,-0.060973406,0.0007,,0.01,2.8874977,
0.0,80000.0,53.0,2270.0,80000.0,1509.434,50.0,33.59375,-0.032054648,0.0007,,0.01,2.884841,
0.0,90000.0,60.0,2555.0,90000.0,1500.0,71.875,37.84722,-0.053271294,0.0007,,0.01,2.885045,
0.0,100000.0,66.0,2840.0,100000.0,1515.1515,65.625,40.625,-0.10043402,0.0007,,0.01,2.88487,
0.0,110000.0,73.0,3125.0,110000.0,1506.8494,21.875,38.920456,-0.038955215,0.0007,,0.01,2.8882017,
0.0,120000.0,80.0,3405.0,120000.0,1500.0,28.125,38.020832,-0.045370467,0.0007,,0.01,2.8888848,
0.0,130000.0,87.0,3690.0,130000.0,1494.2529,37.5,37.98077,-0.05211269,0.0007,,0.01,2.8867784,
0.0,140000.0,94.0,3975.0,140000.0,1489.3617,6.25,35.714287,0.008157146,0.0007,,0.01,2.8880947,
0.0,150000.0,100.0,4260.0,150000.0,1500.0,75.0,38.333332,-0.05120485,0.0007,,0.01,2.8880153,
0.0,160000.0,107.0,4545.0,160000.0,1495.3271,31.25,37.890625,0.24731825,0.0007,,0.01,2.8882093,
0.0,170000.0,113.0,4825.0,170000.0,1504.4248,43.75,38.235294,-0.017649619,0.0007,,0.01,2.8883276,
0.0,180000.0,122.0,5110.0,180000.0,1475.4098,0.0,36.11111,-0.024054898,0.0007,,0.01,2.8892686,
0.0,190000.0,129.0,5395.0,190000.0,1472.8682,18.75,35.19737,-0.048092525,0.0007,,0.01,2.8891218,
0.0,200000.0,135.0,5680.0,200000.0,1481.4814,28.125,34.84375,0.109426506,0.0007,,0.01,2.8893187,
0.0,210000.0,142.0,5965.0,210000.0,1478.8733,53.125,35.714287,-0.05529582,0.0007,,0.01,2.8852143,
0.0,220000.0,148.0,6250.0,220000.0,1486.4865,28.125,35.36932,-0.10343023,0.0007,,0.01,2.8859975,
0.0,230000.0,155.0,6530.0,230000.0,1483.871,53.125,36.141304,0.056627285,0.0007,,0.01,2.884215,
