epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0007,,0.01,,
0.0,10000.0,56.0,95.0,10000.0,178.57143,34.375,34.375,-0.027551204,0.0007,,0.01,2.8593514,
0.0,20000.0,78.0,195.0,20000.0,256.41025,0.0,17.1875,-0.038020063,0.0007,,0.01,2.852759,
0.0,30000.0,99.0,290.0,30000.0,303.0303,12.5,15.625,0.043647543,0.0007,,0.01,2.5619266,
0.0,40000.0,120.0,390.0,40000.0,333.33334,12.5,14.84375,-0.028023066,0.0007,,0.01,2.7574666,
0.0,50000.0,142.0,485.0,50000.0,352.11267,34.375,18.75,0.016377313,0.0007,,0.01,2.5189354,
0.0,60000.0,163.0,585.0,60000.0,368.09814,15.625,18.229166,-0.03144931,0.0007,,0.01,2.79769,
0.0,70000.0,184.0,680.0,70000.0,380.43478,6.25,16.517857,-0.014164789,0.0007,,0.01,2.837143,
0.0,80000.0,206.0,780.0,80000.0,388.34952,0.0,14.453125,-0.025976336,0.0007,,0.01,2.8585951,
0.0,90000.0,227.0,875.0,90000.0,396.47577,34.375,16.666666,-0.031967524,0.0007,,0.01,2.8690934,
0.0,100000.0,248.0,975.0,100000.0,403.2258,28.125,17.8125,-0.026839292,0.0007,,0.01,2.876821,
0.0,110000.0,269.0,1070.0,110000.0,408.92194,12.5,17.329546,-0.01779527,0.0007,,0.01,2.8727841,
0.0,120000.0,290.0,1170.0,120000.0,413.7931,21.875,17.708334,-0.023534963,0.0007,,0.01,2.8640144,
0.0,130000.0,311.0,1265.0,130000.0,418.00644,59.375,20.913462,-0.03667193,0.0007,,0.01,2.87619,
0.0,140000.0,334.0,1365.0,140000.0,419.16168,68.75,24.330357,-0.012971811,0.0007,,0.01,2.851014,
0.0,150000.0,356.0,1460.0,150000.0,421.34833,6.25,23.125,-0.0397704,0.0007,,0.01,2.869861,
0.0,160000.0,377.0,1560.0,160000.0,424.4032,15.625,22.65625,-0.027915945,0.0007,,0.01,2.8367352,
0.0,170000.0,400.0,1660.0,170000.0,425.0,100.0,27.205883,0.0412942,0.0007,,0.01,2.8185513,
0.0,180000.0,422.0,1755.0,180000.0,426.54028,46.875,28.29861,-0.020174885,0.0007,,0.01,2.8764224,
0.0,190000.0,444.0,1855.0,190000.0,427.92792,53.125,29.605263,-0.0060749827,0.0007,,0.01,2.86677,
0.0,200000.0,465.0,1950.0,200000.0,430.1075,43.75,30.3125,-0.03019938,0.0007,,0.01,2.6904123,
0.0,210000.0,486.0,2050.0,210000.0,432.09875,43.75,30.952381,-0.022211751,0.0007,,0.01,2.878564,
0.0,220000.0,507.0,2145.0,220000.0,433.92505,31.25,30.96591,-0.017385282,0.0007,,0.01,2.8667262,
0.0,230000.0,529.0,2245.0,230000.0,434.78262,6.25,29.891304,-0.022984192,0.0007,,0.01,2.877501,
0.0,240000.0,550.0,2340.0,240000.0,436.36365,15.625,29.296875,-0.01347872,0.0007,,0.01,2.8608336,
0.0,250000.0,575.0,2440.0,250000.0,434.78262,12.5,28.625,-0.020386431,0.0007,,0.01,2.8710117,
0.0,260000.0,616.0,2535.0,260000.0,422.0779,15.625,28.125,-0.04121652,0.0007,,0.01,2.8787003,
0.0,270000.0,655.0,2635.0,270000.0,412.21375,59.375,29.282408,-0.0042037326,0.0007,,0.01,2.8071375,
0.0,280000.0,692.0,2730.0,280000.0,404.62427,96.875,31.696428,-0.021874238,0.0007,,0.01,2.8569736,
0.0,290000.0,730.0,2830.0,290000.0,397.26028,56.25,32.543102,-0.021153167,0.0007,,0.01,2.8765066,
0.0,300000.0,767.0,2925.0,300000.0,391.13428,59.375,33.4375,-0.012943765,0.0007,,0.01,2.867865,
0.0,310000.0,804.0,3025.0,310000.0,385.57214,65.625,34.475807,-0.011614017,0.0007,,0.01,2.868391,
0.0,320000.0,841.0,3125.0,320000.0,380.49942,112.5,36.914062,-0.009726668,0.0007,,0.01,2.8724976,
0.0,330000.0,878.0,3220.0,330000.0,375.85422,18.75,36.363636,-0.022585154,0.0007,,0.01,2.8779883,
0.0,340000.0,916.0,3320.0,340000.0,371.17905,46.875,36.672794,-0.01674656,0.0007,,0.01,2.8825922,
0.0,350000.0,955.0,3415.0,350000.0,366.49216,43.75,36.875,-0.027370175,0.0007,,0.01,2.8818488,
0.0,360000.0,994.0,3515.0,360000.0,362.17303,15.625,36.28472,-0.0100955125,0.0007,,0.01,2.8817728,
0.0,370000.0,1032.0,3610.0,370000.0,358.52713,34.375,36.23311,-0.03007628,0.0007,,0.01,2.8775077,
0.0,380000.0,1070.0,3710.0,380000.0,355.1402,59.375,36.842106,-0.04022713,0.0007,,0.01,2.879482,
0.0,390000.0,1107.0,3805.0,390000.0,352.30353,56.25,37.339745,-0.03853649,0.0007,,0.01,2.8780808,
0.0,400000.0,1145.0,3905.0,400000.0,349.34497,21.875,36.953125,-0.0065293983,0.0007,,0.01,2.8806388,
0.0,410000.0,1182.0,4000.0,410000.0,346.86972,18.75,36.509148,-0.019356433,0.0007,,0.01,2.8782737,
0.0,420000.0,1220.0,4100.0,420000.0,344.2623,0.0,35.63988,-0.025309475,0.0007,,0.01,2.8764188,
0.0,430000.0,1257.0,4195.0,430000.0,342.08432,6.25,34.956394,-0.02601269,0.0007,,0.01,2.8808856,
0.0,440000.0,1294.0,4295.0,440000.0,340.0309,6.25,34.303978,-0.018638538,0.0007,,0.01,2.8794148,
0.0,450000.0,1332.0,4390.0,450000.0,337.83783,31.25,34.23611,-0.036245238,0.0007,,0.01,2.8765705,
