epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0007,,0.01,,
0.0,10000.0,74.0,280.0,10000.0,135.13513,6.25,6.25,-0.043194648,0.0007,,0.01,2.889872,
0.0,20000.0,119.0,565.0,20000.0,168.06723,28.125,17.1875,-0.04905432,0.0007,,0.01,2.8899028,
0.0,30000.0,164.0,850.0,30000.0,182.92683,28.125,20.833334,-0.04066486,0.0007,,0.01,2.8895426,
0.0,40000.0,207.0,1135.0,40000.0,193.23671,21.875,21.09375,-0.008804789,0.0007,,0.01,2.889935,
0.0,50000.0,251.0,1420.0,50000.0,199.20319,12.5,19.375,-0.044616856,0.0007,,0.01,2.8893366,
0.0,60000.0,295.0,1700.0,60000.0,203.38983,31.25,21.354166,-0.09689186,0.0007,,0.01,2.888531,
0.0,70000.0,339.0,1985.0,70000.0,206.48967,28.125,22.321428,-0.033087306,0.0007,,0.01,2.8889716,
0.0,80000.0,383.0,2270.0,80000.0,208.87729,118.75,34.375,-0.06705598,0.0007,,0.01,2.8879797,
0.0,90000.0,428.0,2555.0,90000.0,210.28038,40.625,35.069443,-0.050083652,0.0007,,0.01,2.8878126,
0.0,100000.0,472.0,2840.0,100000.0,211.86441,0.0,31.5625,-0.05373562,0.0007,,0.01,2.8883035,
0.0,110000.0,515.0,3125.0,110000.0,213.59224,65.625,34.659092,-0.083480254,0.0007,,0.01,2.8868582,
0.0,120000.0,558.0,3405.0,120000.0,215.05376,6.25,32.291668,-0.049506355,0.0007,,0.01,2.8876536,
0.0,130000.0,601.0,3690.0,130000.0,216.30615,37.5,32.692307,-0.048234064,0.0007,,0.01,2.8877296,
0.0,140000.0,644.0,3975.0,140000.0,217.39131,53.125,34.151787,-0.07678352,0.0007,,0.01,2.888294,
0.0,150000.0,687.0,4260.0,150000.0,218.3406,34.375,34.166668,-0.073924765,0.0007,,0.01,2.888847,
0.0,160000.0,731.0,4545.0,160000.0,218.87825,28.125,33.789062,0.21362558,0.0007,,0.01,2.888346,
0.0,170000.0,775.0,4825.0,170000.0,219.35484,34.375,33.82353,-0.045320686,0.0007,,0.01,2.8886285,
0.0,180000.0,820.0,5110.0,180000.0,219.51219,62.5,35.416668,-0.05892027,0.0007,,0.01,2.8886943,
0.0,190000.0,864.0,5395.0,190000.0,219.90741,6.25,33.88158,-0.031625062,0.0007,,0.01,2.8889544,
0.0,200000.0,907.0,5680.0,200000.0,220.50717,18.75,33.125,-0.0562113,0.0007,,0.01,2.8885171,
0.0,210000.0,950.0,5965.0,210000.0,221.05263,28.125,32.886906,-0.036653332,0.0007,,0.01,2.888428,
0.0,220000.0,994.0,6250.0,220000.0,221.32797,6.25,31.676136,-0.053894866,0.0007,,0.01,2.8889148,
0.0,230000.0,1037.0,6530.0,230000.0,221.79364,21.875,31.25,-0.042916786,0.0007,,0.01,2.886693,
0.0,240000.0,1080.0,6815.0,240000.0,222.22223,31.25,31.25,0.14077589,0.0007,,0.01,2.8887925,
0.0,250000.0,1124.0,7100.0,250000.0,222.41992,31.25,31.25,-0.06560233,0.0007,,0.01,2.8878336,
0.0,260000.0,1170.0,7385.0,260000.0,222.22223,43.75,31.73077,-0.04251757,0.0007,,0.01,2.8887153,
0.0,270000.0,1214.0,7670.0,270000.0,222.40527,37.5,31.944445,0.10496202,0.0007,,0.01,2.8885293,
