epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,1e-04,,0.01,,
0.0,10000.0,177.0,95.0,10000.0,56.497173,37.5,37.5,-0.016403943,1e-04,,0.01,2.888551,
0.0,20000.0,261.0,195.0,20000.0,76.62835,21.875,29.6875,-0.007323984,1e-04,,0.01,2.8885489,
0.0,30000.0,335.0,290.0,30000.0,89.55224,28.125,29.166666,-0.023871668,1e-04,,0.01,2.8864467,
0.0,40000.0,415.0,390.0,40000.0,96.385544,46.875,33.59375,-0.02319353,1e-04,,0.01,2.886947,
0.0,50000.0,491.0,485.0,50000.0,101.83299,15.625,30.0,-0.027354263,1e-04,,0.01,2.8849063,
0.0,60000.0,565.0,585.0,60000.0,106.19469,37.5,31.25,-0.02057093,1e-04,,0.01,2.8843088,
0.0,70000.0,639.0,680.0,70000.0,109.546165,21.875,29.910715,0.032831427,1e-04,,0.01,2.8173637,
0.0,80000.0,715.0,780.0,80000.0,111.888115,21.875,28.90625,-0.0020183763,1e-04,,0.01,2.8798718,
0.0,90000.0,788.0,875.0,90000.0,114.213196,37.5,29.86111,-0.033887196,1e-04,,0.01,2.8568099,
0.0,100000.0,859.0,975.0,100000.0,116.41444,46.875,31.5625,-0.014518453,1e-04,,0.01,2.8764334,
0.0,110000.0,932.0,1070.0,110000.0,118.02575,40.625,32.386364,0.007631272,1e-04,,0.01,2.8764877,
0.0,120000.0,1007.0,1170.0,120000.0,119.16584,75.0,35.9375,-0.021008862,1e-04,,0.01,2.8792124,
0.0,130000.0,1080.0,1265.0,130000.0,120.37037,15.625,34.375,-0.018721115,1e-04,,0.01,2.8817027,
0.0,140000.0,1155.0,1365.0,140000.0,121.21212,65.625,36.607143,-0.0043667797,1e-04,,0.01,2.87141,
0.0,150000.0,1229.0,1460.0,150000.0,122.050446,37.5,36.666668,-0.020585693,1e-04,,0.01,2.8781397,
0.0,160000.0,1305.0,1560.0,160000.0,122.60536,28.125,36.132812,-0.03149841,1e-04,,0.01,2.8740149,
0.0,170000.0,1380.0,1660.0,170000.0,123.18841,37.5,36.213234,-0.026487932,1e-04,,0.01,2.8647861,
0.0,180000.0,1456.0,1755.0,180000.0,123.62637,68.75,38.020832,-0.008602712,1e-04,,0.01,2.8534684,
0.0,190000.0,1531.0,1855.0,190000.0,124.10189,121.875,42.43421,0.00848043,1e-04,,0.01,2.8457384,
0.0,200000.0,1601.0,1950.0,200000.0,124.92192,12.5,40.9375,-0.012230072,1e-04,,0.01,2.8705137,
