epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,1e-04,,0.01,,
0.0,10000.0,436.0,720.0,10000.0,22.93578,12.5,12.5,-0.027179003,1e-04,,0.01,2.8822236,
0.0,20000.0,601.0,1520.0,20000.0,33.27787,31.25,21.875,-0.027971162,1e-04,,0.01,2.8744164,
0.0,30000.0,768.0,2320.0,30000.0,39.0625,25.0,22.916666,-0.028028734,1e-04,,0.01,2.8645403,
0.0,40000.0,918.0,3120.0,40000.0,43.572987,118.75,46.875,-0.021049798,1e-04,,0.01,2.8505077,
0.0,50000.0,1059.0,3840.0,50000.0,47.21435,43.75,46.25,-0.037532732,1e-04,,0.01,2.8505225,
0.0,60000.0,1206.0,4640.0,60000.0,49.751244,37.5,44.791668,-0.01843823,1e-04,,0.01,2.833726,
0.0,70000.0,1354.0,5440.0,70000.0,51.69867,75.0,49.107143,-0.022750515,1e-04,,0.01,2.777699,
0.0,80000.0,1506.0,6240.0,80000.0,53.12085,87.5,53.90625,-0.026158694,1e-04,,0.01,2.7916832,
0.0,90000.0,1647.0,6960.0,90000.0,54.64481,150.0,64.583336,-0.020051297,1e-04,,0.01,2.779089,
0.0,100000.0,1797.0,7760.0,100000.0,55.648304,75.0,65.625,-0.030188898,1e-04,,0.01,2.742755,
0.0,110000.0,1948.0,8560.0,110000.0,56.468174,0.0,59.659092,-0.02878462,1e-04,,0.01,2.754415,
0.0,120000.0,2096.0,9360.0,120000.0,57.251907,112.5,64.0625,-0.02668143,1e-04,,0.01,2.765812,
0.0,130000.0,2237.0,10080.0,130000.0,58.113544,68.75,64.42308,-0.022358328,1e-04,,0.01,2.764451,
0.0,140000.0,2388.0,10880.0,140000.0,58.626465,100.0,66.96429,-0.022725573,1e-04,,0.01,2.6965618,
0.0,150000.0,2543.0,11680.0,150000.0,58.98545,43.75,65.416664,-0.023840971,1e-04,,0.01,2.626037,
0.0,160000.0,2698.0,12480.0,160000.0,59.30319,93.75,67.1875,-0.026490146,1e-04,,0.01,2.5924053,
0.0,170000.0,2850.0,13280.0,170000.0,59.649124,62.5,66.911766,-0.030518927,1e-04,,0.01,2.7068973,
0.0,180000.0,2990.0,14000.0,180000.0,60.20067,68.75,67.013885,-0.02775428,1e-04,,0.01,2.681154,
0.0,190000.0,3142.0,14800.0,190000.0,60.47104,62.5,66.77631,-0.0374996,1e-04,,0.01,2.7265358,
0.0,200000.0,3289.0,15600.0,200000.0,60.808758,56.25,66.25,-0.029044857,1e-04,,0.01,2.6509044,
0.0,210000.0,3439.0,16400.0,210000.0,61.064262,25.0,64.28571,-0.031866115,1e-04,,0.01,2.6299736,
0.0,220000.0,3581.0,17120.0,220000.0,61.435352,75.0,64.77273,-0.02508734,1e-04,,0.01,2.6697428,
0.0,230000.0,3734.0,17920.0,230000.0,61.59614,62.5,64.67391,-0.024669835,1e-04,,0.01,2.6540647,
0.0,240000.0,3887.0,18720.0,240000.0,61.744274,12.5,62.5,-0.037939668,1e-04,,0.01,2.6181397,
0.0,250000.0,4039.0,19520.0,250000.0,61.896507,0.0,60.0,-0.033062503,1e-04,,0.01,2.6874616,
0.0,260000.0,4180.0,20240.0,260000.0,62.20096,87.5,61.057693,-0.02132048,1e-04,,0.01,2.5606506,
0.0,270000.0,4334.0,21040.0,270000.0,62.298107,56.25,60.87963,-0.031403065,1e-04,,0.01,2.5637493,
0.0,280000.0,4488.0,21840.0,280000.0,62.38859,75.0,61.38393,-0.030929934,1e-04,,0.01,2.5581417,
0.0,290000.0,4644.0,22640.0,290000.0,62.446167,31.25,60.344826,-0.024499314,1e-04,,0.01,2.5406692,
0.0,300000.0,4791.0,23360.0,300000.0,62.61741,56.25,60.208332,-0.03290384,1e-04,,0.01,2.5775824,
0.0,310000.0,4963.0,24160.0,310000.0,62.46222,25.0,59.072582,-0.025160516,1e-04,,0.01,2.6282048,
0.0,320000.0,5124.0,24960.0,320000.0,62.45121,150.0,61.914062,-0.030627435,1e-04,,0.01,2.532616,
0.0,330000.0,5280.0,25760.0,330000.0,62.5,12.5,60.416668,-0.03687854,1e-04,,0.01,2.5476704,
0.0,340000.0,5442.0,26560.0,340000.0,62.47703,100.0,61.580883,-0.012252818,1e-04,,0.01,2.3524559,
0.0,350000.0,5592.0,27280.0,350000.0,62.589413,137.5,63.75,-0.02171794,1e-04,,0.01,2.4669557,
0.0,360000.0,5750.0,28080.0,360000.0,62.608696,137.5,65.798615,-0.025316129,1e-04,,0.01,2.4341269,
0.0,370000.0,5905.0,28880.0,370000.0,62.658764,43.75,65.202705,-0.03421346,1e-04,,0.01,2.5707302,
0.0,380000.0,6060.0,29680.0,380000.0,62.706272,25.0,64.14474,-0.028973702,1e-04,,0.01,2.5815456,
0.0,390000.0,6206.0,30400.0,390000.0,62.84241,131.25,65.86539,-0.027028076,1e-04,,0.01,2.47265,
0.0,400000.0,6358.0,31200.0,400000.0,62.912865,37.5,65.15625,-0.033434525,1e-04,,0.01,2.5127368,
0.0,410000.0,6509.0,32000.0,410000.0,62.989708,25.0,64.17683,-0.026486093,1e-04,,0.01,2.4973757,
0.0,420000.0,6659.0,32800.0,420000.0,63.072533,56.25,63.988094,-0.025168352,1e-04,,0.01,2.5360546,
