epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.00025,,0.01,,
0.0,10000.0,291.0,640.0,10000.0,34.36426,6.25,6.25,-0.029464444,0.0002497952,,0.01,2.809919,
0.0,20000.0,354.0,1440.0,20000.0,56.497173,71.875,39.0625,-0.027633175,0.0002495392,,0.01,2.786591,
0.0,30000.0,419.0,2240.0,30000.0,71.599045,71.875,50.0,-0.030470172,0.0002492832,,0.01,2.7698104,
0.0,40000.0,483.0,3040.0,40000.0,82.815735,75.0,56.25,-0.03058672,0.0002490272,,0.01,2.8025215,
0.0,50000.0,547.0,3840.0,50000.0,91.40768,37.5,52.5,-0.030432327,0.0002487712,,0.01,2.7874427,
0.0,60000.0,611.0,4640.0,60000.0,98.19967,59.375,53.645832,-0.0322504,0.0002485152,,0.01,2.79491,
0.0,70000.0,676.0,5440.0,70000.0,103.55029,43.75,52.232143,-0.031692766,0.0002482592,,0.01,2.8037815,
0.0,80000.0,741.0,6240.0,80000.0,107.96221,25.0,48.828125,-0.032756455,0.0002480032,,0.01,2.787012,
0.0,90000.0,795.0,6880.0,90000.0,113.20755,37.5,47.569443,-0.03316398,0.0002477984,,0.01,2.7831645,
0.0,100000.0,859.0,7680.0,100000.0,116.41444,28.125,45.625,-0.03302581,0.0002475424,,0.01,2.7845278,
0.0,110000.0,924.0,8480.0,110000.0,119.04762,68.75,47.727272,-0.032156233,0.0002472864,,0.01,2.7589102,
0.0,120000.0,989.0,9280.0,120000.0,121.33468,37.5,46.875,-0.031886376,0.0002470304,,0.01,2.776201,
0.0,130000.0,1053.0,10080.0,130000.0,123.45679,31.25,45.673077,-0.03648153,0.0002467744,,0.01,2.7606702,
0.0,140000.0,1117.0,10880.0,140000.0,125.335724,68.75,47.32143,-0.031345244,0.0002465184,,0.01,2.6850183,
