epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.002,,0.01,,
0.0,10000.0,7.0,0.0,10000.0,1428.5714,21.875,21.875,,0.002,,0.009837675,,
0.0,20000.0,16.0,0.0,20000.0,1250.0,0.0,10.9375,,0.002,,0.009657315,,
0.0,30000.0,25.0,0.0,30000.0,1200.0,40.625,20.833334,,0.002,,0.009476954,,
0.0,40000.0,34.0,0.0,40000.0,1176.4706,25.0,21.875,,0.002,,0.009296593,,
0.0,50000.0,42.0,0.0,50000.0,1190.4762,46.875,26.875,,0.002,,0.009116232,,
0.0,60000.0,50.0,0.0,60000.0,1200.0,37.5,28.645834,,0.002,,0.0089358715,,
0.0,70000.0,59.0,0.0,70000.0,1186.4407,65.625,33.92857,,0.002,,0.008755511,,
0.0,80000.0,68.0,0.0,80000.0,1176.4706,15.625,31.640625,,0.002,,0.008575151,,
0.0,90000.0,77.0,0.0,90000.0,1168.8312,34.375,31.944445,,0.002,,0.00839479,,
0.0,100000.0,87.0,0.0,100000.0,1149.4253,21.875,30.9375,,0.002,,0.008214429,,
0.0,110000.0,96.0,0.0,110000.0,1145.8334,59.375,33.522728,,0.002,,0.008034068,,
0.0,120000.0,106.0,0.0,120000.0,1132.0754,15.625,32.03125,,0.002,,0.007853707,,
0.0,130000.0,115.0,0.0,130000.0,1130.4348,12.5,30.528847,,0.002,,0.007673347,,
0.0,140000.0,124.0,0.0,140000.0,1129.0322,65.625,33.035713,,0.002,,0.007492986,,
0.0,150000.0,134.0,0.0,150000.0,1119.403,6.25,31.25,,0.002,,0.007312625,,
0.0,160000.0,143.0,0.0,160000.0,1118.8811,15.625,30.273438,,0.002,,0.0071322643,,
0.0,170000.0,152.0,0.0,170000.0,1118.421,53.125,31.617647,,0.002,,0.006951904,,
0.0,180000.0,162.0,0.0,180000.0,1111.1111,12.5,30.555555,,0.002,,0.006771543,,
0.0,190000.0,171.0,0.0,190000.0,1111.1111,46.875,31.414474,,0.002,,0.006591182,,
0.0,200000.0,180.0,0.0,200000.0,1111.1111,50.0,32.34375,,0.002,,0.006410822,,
0.0,210000.0,190.0,0.0,210000.0,1105.2632,28.125,32.142857,,0.002,,0.006230461,,
0.0,220000.0,199.0,0.0,220000.0,1105.5276,37.5,32.386364,,0.002,,0.0060501,,
0.0,230000.0,208.0,0.0,230000.0,1105.7693,21.875,31.929348,,0.002,,0.0058697397,,
0.0,240000.0,218.0,0.0,240000.0,1100.9175,6.25,30.859375,,0.002,,0.005689379,,
0.0,250000.0,227.0,0.0,250000.0,1101.3215,31.25,30.875,,0.002,,0.005509018,,
0.0,260000.0,236.0,0.0,260000.0,1101.695,28.125,30.76923,,0.002,,0.005328657,,
0.0,270000.0,246.0,0.0,270000.0,1097.561,21.875,30.439816,,0.002,,0.0051482967,,
0.0,280000.0,255.0,0.0,280000.0,1098.0392,50.0,31.138393,,0.002,,0.004967936,,
0.0,290000.0,264.0,0.0,290000.0,1098.4849,50.0,31.788794,,0.002,,0.004787575,,
0.0,300000.0,274.0,0.0,300000.0,1094.8905,40.625,32.083332,,0.002,,0.0046072146,,
0.0,310000.0,283.0,0.0,310000.0,1095.4064,50.0,32.66129,,0.002,,0.0044268537,,
0.0,320000.0,292.0,0.0,320000.0,1095.8904,53.125,33.30078,,0.002,,0.004246493,,
0.0,330000.0,302.0,0.0,330000.0,1092.7152,50.0,33.80682,,0.002,,0.0040661325,,
0.0,340000.0,311.0,0.0,340000.0,1093.2476,43.75,34.099266,,0.002,,0.0038857716,,
0.0,350000.0,320.0,0.0,350000.0,1093.75,15.625,33.57143,,0.002,,0.0037054108,,
0.0,360000.0,330.0,0.0,360000.0,1090.909,12.5,32.98611,,0.002,,0.0035250501,,
0.0,370000.0,338.0,0.0,370000.0,1094.6746,25.0,32.77027,,0.002,,0.0033446893,,
0.0,380000.0,346.0,0.0,380000.0,1098.2659,0.0,31.907894,,0.002,,0.0031643286,,
0.0,390000.0,354.0,0.0,390000.0,1101.695,75.0,33.01282,,0.002,,0.002983968,,
0.0,400000.0,364.0,0.0,400000.0,1098.9011,53.125,33.515625,,0.002,,0.0028036071,,
0.0,410000.0,373.0,0.0,410000.0,1099.1957,6.25,32.85061,,0.002,,0.0026232465,,
0.0,420000.0,382.0,0.0,420000.0,1099.4764,50.0,33.25893,,0.002,,0.0024428857,,
0.0,430000.0,392.0,0.0,430000.0,1096.9387,37.5,33.35756,,0.002,,0.002262525,,
0.0,440000.0,401.0,0.0,440000.0,1097.2568,0.0,32.59943,,0.002,,0.0020821644,,
0.0,450000.0,410.0,0.0,450000.0,1097.561,15.625,32.22222,,0.002,,0.0019018037,,
0.0,460000.0,420.0,0.0,460000.0,1095.238,62.5,32.880436,,0.002,,0.0017214429,,
0.0,470000.0,429.0,0.0,470000.0,1095.571,18.75,32.57979,,0.002,,0.0015410822,,
0.0,480000.0,439.0,0.0,480000.0,1093.394,15.625,32.226562,,0.002,,0.0013607214,,
0.0,490000.0,448.0,0.0,490000.0,1093.75,53.125,32.65306,,0.002,,0.0011803607,,
0.0,500000.0,458.0,0.0,500000.0,1091.703,31.25,32.625,,0.002,,0.001,,
